timestamp,value
3 AUG,22.476591383927353
4 AUG,30.375110410760247
5 AUG,15.429818701682677
6 AUG,35.144687642267144
7 AUG,30.56160356974413
8 AUG,42.24345123050046
9 AUG,46.13125348283044
10 AUG,18.339856121476263
11 AUG,40.46131946749055
12 AUG,28.393717655411088
13 AUG,49.90427527055411
14 AUG,38.84129286540182
15 AUG,48.0047494840145
16 AUG,28.011862278264793
17 AUG,21.16579513294504
18 AUG,49.86685523696418
19 AUG,38.399053746380105
20 AUG,23.966704742906273
21 AUG,44.7688837541509
22 AUG,33.61181370491222
23 AUG,25.22522473189579
24 AUG,42.56300808267092
25 AUG,14.319995883112908
26 AUG,26.157389226082913
27 AUG,17.74550720710642
28 AUG,1.366702966459908
29 AUG,0.012087108342939313
30 AUG,0.01027757154555343
31 AUG,0.004436465613710376
1 SEP,0.01324323544003595
