timestamp,value
3 AUG,189
4 AUG,206
5 AUG,240
6 AUG,283
7 AUG,230
8 AUG,245
9 AUG,222
10 AUG,206
11 AUG,180
12 AUG,151
13 AUG,209
14 AUG,218
15 AUG,165
16 AUG,328
17 AUG,242
18 AUG,271
19 AUG,223
20 AUG,255
21 AUG,285
22 AUG,201
23 AUG,260
24 AUG,230
25 AUG,219
26 AUG,183
27 AUG,268
28 AUG,304
29 AUG,356
30 AUG,617
31 AUG,798
1 SEP,774
