timestamp,value
3 AUG,1743
4 AUG,3039
5 AUG,1555
6 AUG,1522
7 AUG,2511
8 AUG,2410
9 AUG,2431
10 AUG,1647
11 AUG,1757
12 AUG,1589
13 AUG,1277
14 AUG,3490
15 AUG,824
16 AUG,5926
17 AUG,3010
18 AUG,2478
19 AUG,7807
20 AUG,5403
21 AUG,5664
22 AUG,3740
23 AUG,2440
24 AUG,1090
25 AUG,2215
26 AUG,2752
27 AUG,3281
28 AUG,13969
29 AUG,124764
30 AUG,122740
31 AUG,94246
1 SEP,140779
