timestamp,value
3 AUG,3106173
4 AUG,2404118
5 AUG,1648291
6 AUG,3527169
7 AUG,5384707
8 AUG,8113589
9 AUG,6807274
10 AUG,2196140
11 AUG,5499876
12 AUG,2196492
13 AUG,16173775
14 AUG,7840449
15 AUG,4428237
16 AUG,5155932
17 AUG,3342601
18 AUG,16315324
19 AUG,8782180
20 AUG,10179512
21 AUG,24648313
22 AUG,5552717
23 AUG,4606542
24 AUG,2609335
25 AUG,1586130
26 AUG,3430223
27 AUG,2991577
28 AUG,2859061
29 AUG,6984934
30 AUG,5771268
31 AUG,4582411
1 SEP,8189556
